OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
492,2022,CA,USF,KNF,YETI,6200,2022/07/30 00:00:00+00,2022/09/03 00:00:00+00,14,3,1,7886.011,,,{CBF463F1-943D-43FC-A4E5-D50647817B6F},,,2020,57542116.01,50192.01371
493,2022,CA,USF,KNF,KELSEY,6273,2022/07/31 00:00:00+00,2022/08/24 00:00:00+00,14,7,1,84.64411,11586BA1-236D-4C91-96C9-DB7AA167E64D,,{11586BA1-236D-4C91-96C9-DB7AA167E64D},,,2020,613775.1445,6689.77218
494,2022,CA,USF,MDF,MCGINTY,569,2022/08/04 00:00:00+00,2022/08/07 00:00:00+00,1,7,1,48.1479,,,{9C7A9310-AC32-416B-9886-66D1B2CB4793},,,2020,351251.4805,2750.559663
495,2022,CA,USF,SRF,AMMON,635,2022/08/05 00:00:00+00,2022/09/06 00:00:00+00,14,3,1,11464.9,,2022 SRF Lightning Complex,{C403F1AF-8762-41CE-A75E-5A4508B122E2},,,2020,81126625.42,64551.65677
496,2022,CA,USF,SRF,CAMPBELL,616,2022/08/05 00:00:00+00,2022/09/09 00:00:00+00,14,3,1,30132.85,,2022 SRF Lightning Complex,{63341D1A-DA35-4F72-9207-43688381FBA4},,,2020,213957954.3,118434.523
497,2022,CA,USF,SQF,WISHON,2089,2022/08/15 00:00:00+00,2022/08/29 00:00:00+00,14,3,1,317.8171,,,{F841FB60-8866-4149-9AD8-F486A760FF74},,,2020,1977380.824,8514.472925
498,2022,CA,USF,BDF,BRONCO,12134,2022/08/17 00:00:00+00,2022/08/22 00:00:00+00,9,7,1,89.57446,,,{936780D7-EEE4-4311-8EFC-6E1D959D74F7},,,2020,531916.1836,3281.964947
499,2022,CA,USF,ANF,EAST,2810,2022/08/25 00:00:00+00,2022/09/11 00:00:00+00,14,3,1,147.6624,,,{D1DBEFDC-057A-4AD2-A649-9F17B2828FC1},,,2020,876444.6484,5256.763708
500,2022,CA,USF,ANF,GULCH,2870,2022/08/29 00:00:00+00,2022/09/11 00:00:00+00,14,7,1,113.4179,,,{06CD79C8-57F0-4D63-A822-D9BADAA754EA},,,2020,672409.1328,6612.418107
501,2022,CA,USF,CNF,VALLEY,2040,2022/08/22 00:00:00+00,2022/09/10 00:00:00+00,14,7,1,188.4808,CONT date is OUT date,,{76926230-A9F0-47BE-AC97-A39BB1EF4CFF},,,2020,1084171.211,7241.365293
502,2022,CA,USF,TNF,PLUM,1110,2022/08/11 00:00:00+00,2022/08/22 00:00:00+00,9,6,1,12.28059,,,{15FEA6D7-CF15-495B-8BD4-EE8AEF8CEB51},,,2020,83405.36328,3387.932558
503,2022,CA,USF,BDF,RADFORD ,12958,2022/09/05 00:00:00+00,2022/11/09 00:00:00+00,9,7,1,1079.279,,,{E759843C-DE2F-4B80-B76B-D8E8C43FCB00},,,2020,6402730.738,21766.99643
504,2022,CA,USF,TNF,MOSQUITO,1371,2022/09/07 00:00:00+00,2022/10/22 00:00:00+00,9,3,1,76771.45,,,{44773D0C-F5B6-4413-BAE1-4C929BF9E912},,,2020,515461760.6,273643.9508
505,2022,CA,USF,MDF,BARNES,896,2022/09/07 00:00:00+00,2022/11/01 00:00:00+00,1,7,1,5840.575,,,{0AA067F2-E9B8-426B-BBDE-F9DC2A00A95F},,,2020,42656929.67,64728.55605
506,2022,CA,USF,SRF,BIG BAR,883,2022/10/12 00:00:00+00,2022/10/23 00:00:00+00,14,7,1,11.87628,,,{181EFA72-CB64-4DDA-BDCC-08D14B05F413},,,2020,85110.08203,1256.732685
507,2022,CA,USF,LPF,NAVAJO,869,2022/05/08 00:00:00+00,2022/05/18 00:00:00+00,9,6,1,31.54411,,,{AF64D8F8-DDCA-40C0-8E4F-813D269E1531},,,2020,192452.0156,2313.230186
508,2022,CA,USF,ENF,PAYMASTER,6355,2022/03/08 00:00:00+00,2022/03/11 00:00:00+00,9,6,1,15.13918,,,{0C5EEC47-48D6-400F-B75C-4E0DDE0919F1},,,2020,101535.4102,2051.839487
509,2022,CA,USF,KNF,GEORGE,6783,2022/08/11 00:00:00+00,2022/08/24 00:00:00+00,14,6,1,13.57013,,,{6E110937-5B40-4384-9E4D-A18F631F3042},,,2020,98586.47266,1411.995648
